id,comments,label,conf_fake_diff
politifact230,gottabstrong sensherrodbrown we the people want this bill passed stop being a partisan put us 1st,0,0.03922218084335327
politifact230,repdennisross today you lost every hispanic vote in your district,0,0.041471928358078
politifact230,repdennisross you should also explain to your constituents that no bill becomes law without the presidents signature vetopen,0,0.006632745265960693
politifact230,has supported trump on immigration issues,0,0.005530238151550293
politifact230,will dhs appropriation bill brought to floor for voting this week,0,-0.015374094247817993
politifact14621,i think that this did not happen and has already been debunked,1,0.06057220697402954
politifact14621,good now they’re all standing,1,0.007236838340759277
politifact14621,hope its true awesome for all,1,0.004139065742492676
politifact14621,i wish but this is fake news,1,-0.03074491024017334
politifact14621,how the hell did they have anything that could be considered nonprofit more wasted dollars saved by trump,1,0.026905715465545654
politifact14621,now make sure it’s permanent in the tax reform bill legislatively,1,0.007526099681854248
politifact14621,you may want to check that story,1,0.0042337775230407715
politifact14506,could you send me the link to the petition of these scientists,1,-0.0017731785774230957
politifact14506,why didnt they speak up before dont want to look dumb now that we know the truth,1,0.014910519123077393
politifact14506,that natural gas money tho,1,4.571676254272461e-05
politifact14506,this article was published over a year ago,1,-0.002370774745941162
politifact14506,sigh of relief dodged a bullet there please do what you can to inform the public about this,1,-0.009735584259033203
politifact14506,not seeing any real sources on this,1,0.0016586780548095703
politifact14506,a scam to tax everything on the planet to fund world government,1,0.00012356042861938477
politifact14506,best news all day ill wager msm dont pick up on it though,1,0.007331132888793945
politifact14506,admittedly this questioning is continuing but the overwhelming consensus seems to remain with human induced how can this be resolved,1,-0.0074860453605651855
politifact14506,crazy guys climate change is real,1,-0.002388894557952881
politifact13815,resjahunter kaila americans eating rats now oh no kaila auntie sia nice me curry,1,-0.03685259819030762
politifact13815,qnik that is scary shit as often as i eat chicken wings im done,1,-0.004813075065612793
politifact13815,qnik tygerlylly thats silly rats dont have wings,1,0.007192134857177734
politifact13815,qnik greeenguy111 this is troubling to say the least,1,-0.003012537956237793
politifact13815,qnik truthglow congress just voted to remove coo labels excuse me while i go puke wtf reestablishcoolabels,1,0.0020880699157714844
politifact13815,qnik godandthebear mikeloburgio did you see this wtf,1,0.015030503273010254
politifact13815,declara how would you go to take a bite and not realize its a rat and not a chicken wing,1,-0.0038428902626037598
politifact13815,declara why i decided to turn vegan,1,0.016134202480316162
politifact13815,jpanderson9999 agreed fish and veggies,1,0.009640038013458252
politifact13815,hermenendigo just maybe we should cut back our meat consumption or farm raise our food,1,-0.004672110080718994
politifact15501,state run media loves turmp america is just about ready to revolt,1,0.002543032169342041
politifact15501,yours is on the decline and it will be etched in history for your children and grandchildren,1,-0.03892296552658081
politifact15501,this is what we call a lie,1,0.00809866189956665
politifact15501,according to who fake news,1,-0.019268512725830078
politifact15501,i’m sure he never used the nword,1,-0.0010086894035339355
politifact15501,the gateway pundit citing rasmussen wow what credibility,1,-0.005947291851043701
politifact15501,so what wtf does that matter if it’s even true,1,-0.03522747755050659
politifact15501,didnt want to be there couldnt wait to leave more like it,1,0.007261097431182861
politifact15501,showed true grit just what america has been longing for,1,-0.016382277011871338
politifact15501,oh yeah showed real leadership at the meeting name calling demanding orange faced twit,1,-0.009321451187133789
politifact13577,thatd be a stumpy trumps mouthbreathers brigade wet dream if it were so,1,-0.006047844886779785
politifact13617,“ruffusmd confirmed justice ruth bader ginsburg is resigning from the post of associate justice scotus …”,1,0.007644593715667725
politifact13617,i would say 99 of the news is fake i have come to believe that the world is fake,1,-0.04076319932937622
politifact13617,william casey cia director said before congress when we get to the place where everything the usa citizen believes,1,-0.002377927303314209
politifact13617,might be fake news dude,1,-0.12491375207901001
politifact13617,her statement only serves 2 validate th stupidity of lawyers in charge of our govt rbgtypical bolshevikwealth is always stolen,1,0.005857408046722412
politifact13617,you might want to check outside of your echochamber once in a while,1,-0.0001156926155090332
politifact13617,totally fake news site per the article the court is on summer recess really come on jimdwrench,1,-0.11095404624938965
politifact13617,greattell boris karloff his babe is going bar hopping,1,0.010359346866607666
politifact13617,bfd shut up and go away why do people think the presidency is a about one man,1,0.00640416145324707
politifact13617,justice ginsbergs retirement carries as much weight as woopies moving to canada believe it when i see it,1,-0.0018287897109985352
politifact14754,i’m willing to pay money for men to come out with allegations against mcconnell,1,-0.0156438946723938
politifact440,bill is a personal friend of president obamas tuckercarlson jessebwatters yesnicksearcy realjameswoods marklevinshow rubinreport,0,0.0007050102576613426
politifact1084,we are ashamed of our government,0,-0.00019428133964538574
politifact1084,this lets the montana guy stay at his daughter’s wedding classy move actually,0,0.005653209984302521
politifact1084,yep it will take two senators to flip to no instead of one in order to stop kavanaugh,0,0.00024415552616119385
politifact1084,i believe it means she will not cast a vote how you been gorgeous,0,0.010446958243846893
politifact1084,what does that mean does it count as no what does it do to the numbers,0,0.014952920377254486
politifact1084,it’s almost as if when you try to be everything to everyone you end up being nothing to nobody,0,0.006364390254020691
politifact1084,98 of senate dems voted against kavanaugh that’s not unified,0,0.025985777378082275
politifact1084,you mean mccain the traitor,0,0.004231557250022888
politifact1084,perhaps he might head the reorganization of justicefbi,0,-0.004504173994064331
politifact1084,personally i think tg would make a great ig,0,0.012048155069351196
politifact13548,but in india conparty incindia rewards the guy who was caught romping in court complex dramsinghvi,0,0.00033572595566511154
politifact13949,jettesvensson1 cavradio what could be the cause,1,-0.02713233232498169
politifact13949,timfitton realjameswoods mitchellvii birdman8272 foxnews loudobbs thomas1774paine,1,-0.006120741367340088
politifact13949,michele thank you so much for putting this out told the parents of my grandchildren this is reprehensible,1,-0.006899118423461914
politifact13949,they don’t want anyone to know,1,0.0019273757934570312
